id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2006,"Total, mathematic",ARG,(S)ERCE,2006,47.99420166015625,1,1,"Total, mathematic",1,Argentina,Percentage of women among the bottom 10% test scores in 3rd grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Low-skilled household, mathematics",ARG,(S)ERCE,2006,48.71670150756836,2,2,"Qualification, mathematic",2,Argentina,Percentage of women among the bottom 10% test scores in 3rd grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Medium-skilled household, mathematics",ARG,(S)ERCE,2006,45.2532958984375,3,3,"Qualification, mathematic",2,Argentina,Percentage of women among the bottom 10% test scores in 3rd grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"High-skilled household, mathematics",ARG,(S)ERCE,2006,58.9343376159668,4,4,"Qualification, mathematic",2,Argentina,Percentage of women among the bottom 10% test scores in 3rd grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Total, language",ARG,(S)ERCE,2006,44.98833084106445,5,5,"Total, language",3,Argentina,Percentage of women among the bottom 10% test scores in 3rd grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Low-skilled household, language",ARG,(S)ERCE,2006,46.04628753662109,6,6,"Qualification, language",4,Argentina,Percentage of women among the bottom 10% test scores in 3rd grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Medium-skilled household, language",ARG,(S)ERCE,2006,44.93884658813477,7,7,"Qualification, language",4,Argentina,Percentage of women among the bottom 10% test scores in 3rd grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"High-skilled household, language",ARG,(S)ERCE,2006,41.80130004882813,8,8,"Qualification, language",4,Argentina,Percentage of women among the bottom 10% test scores in 3rd grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Total, mathematic",ARG,(T)ERCE,2013,45.41724014282227,1,1,"Total, mathematic",1,Argentina,Percentage of women among the bottom 10% test scores in 3rd grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Low-skilled household, mathematics",ARG,(T)ERCE,2013,38.4069709777832,2,2,"Qualification, mathematic",2,Argentina,Percentage of women among the bottom 10% test scores in 3rd grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 3rd grade who are women.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
