id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,pais2,indicador,detalle_indicador,disclaimer
ARG_ERCE06-132006,"Total, mathematic",ARG_ERCE06-13,(S)ERCE 2006,2006,51.50490188598633,1,1,"Total, mathematic",1,Argentina,Argentina (ERCE06-13),Percentage of women among the bottom 10% test scores in 6th grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 6th grade who are women.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Low-skilled household, mathematics",ARG_ERCE06-13,(S)ERCE 2006,2006,54.07578277587891,2,2,"Qualification, mathematic",2,Argentina,Argentina (ERCE06-13),Percentage of women among the bottom 10% test scores in 6th grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 6th grade who are women.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Medium-skilled household, mathematics",ARG_ERCE06-13,(S)ERCE 2006,2006,59.29617309570313,3,3,"Qualification, mathematic",2,Argentina,Argentina (ERCE06-13),Percentage of women among the bottom 10% test scores in 6th grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 6th grade who are women.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"High-skilled household, mathematics",ARG_ERCE06-13,(S)ERCE 2006,2006,43.41038131713867,4,4,"Qualification, mathematic",2,Argentina,Argentina (ERCE06-13),Percentage of women among the bottom 10% test scores in 6th grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 6th grade who are women.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Total, language",ARG_ERCE06-13,(S)ERCE 2006,2006,46.00029754638672,5,5,"Total, language",3,Argentina,Argentina (ERCE06-13),Percentage of women among the bottom 10% test scores in 6th grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 6th grade who are women.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Low-skilled household, language",ARG_ERCE06-13,(S)ERCE 2006,2006,47.22365188598633,6,6,"Qualification, language",4,Argentina,Argentina (ERCE06-13),Percentage of women among the bottom 10% test scores in 6th grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 6th grade who are women.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Medium-skilled household, language",ARG_ERCE06-13,(S)ERCE 2006,2006,48.73392486572266,7,7,"Qualification, language",4,Argentina,Argentina (ERCE06-13),Percentage of women among the bottom 10% test scores in 6th grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 6th grade who are women.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"High-skilled household, language",ARG_ERCE06-13,(S)ERCE 2006,2006,53.32335662841797,8,8,"Qualification, language",4,Argentina,Argentina (ERCE06-13),Percentage of women among the bottom 10% test scores in 6th grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 6th grade who are women.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Total, science",ARG_ERCE06-13,(S)ERCE 2006,2006,49.34803771972656,9,9,"Total, science",5,Argentina,Argentina (ERCE06-13),Percentage of women among the bottom 10% test scores in 6th grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 6th grade who are women.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Low-skilled household, science",ARG_ERCE06-13,(S)ERCE 2006,2006,51.740966796875,10,10,"Qualification, science",6,Argentina,Argentina (ERCE06-13),Percentage of women among the bottom 10% test scores in 6th grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 6th grade who are women.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Medium-skilled household, science",ARG_ERCE06-13,(S)ERCE 2006,2006,57.55309677124023,11,11,"Qualification, science",6,Argentina,Argentina (ERCE06-13),Percentage of women among the bottom 10% test scores in 6th grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 6th grade who are women.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132006,"High-skilled household, science",ARG_ERCE06-13,(S)ERCE 2006,2006,43.81838226318359,12,12,"Qualification, science",6,Argentina,Argentina (ERCE06-13),Percentage of women among the bottom 10% test scores in 6th grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 6th grade who are women.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132013,"Total, mathematic",ARG_ERCE06-13,(T)ERCE 2013 comparable a (S)ERCE 2006,2013,48.95787811279297,1,1,"Total, mathematic",1,Argentina,Argentina (ERCE06-13),Percentage of women among the bottom 10% test scores in 6th grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 6th grade who are women.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132013,"Low-skilled household, mathematics",ARG_ERCE06-13,(T)ERCE 2013 comparable a (S)ERCE 2006,2013,57.43561172485352,2,2,"Qualification, mathematic",2,Argentina,Argentina (ERCE06-13),Percentage of women among the bottom 10% test scores in 6th grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 6th grade who are women.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG_ERCE06-132013,"Medium-skilled household, mathematics",ARG_ERCE06-13,(T)ERCE 2013 comparable a (S)ERCE 2006,2013,45.97157669067383,3,3,"Qualification, mathematic",2,Argentina,Argentina (ERCE06-13),Percentage of women among the bottom 10% test scores in 6th grade,Percentage of students in the bottom 10% of the standardized test scores distribution in 6th grade who are women.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
