id_paisano,desagregacion,pais_cod,Encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2011,Mujeres,ARG,MICS 2011-12,2011,2.353033304214478,1,1,Mujeres,1,Argentina,Tasa de fecundidad total - MICS,"Número de hijos que nacerían por mujer, suponiendo que mantuvieran durante sus años reproductivos las mismas tasas de fecundidad específicas por grupo etario del período. La población de referencia incluye mujeres de 25 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres,ARG,MICS 2019-20,2019,.8256925344467163,1,1,Mujeres,1,Argentina,Tasa de fecundidad total - MICS,"Número de hijos que nacerían por mujer, suponiendo que mantuvieran durante sus años reproductivos las mismas tasas de fecundidad específicas por grupo etario del período. La población de referencia incluye mujeres de 25 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2011,Mujeres,CRI,MICS 2011,2011,2.199869632720947,1,1,Mujeres,1,Costa Rica,Tasa de fecundidad total - MICS,"Número de hijos que nacerían por mujer, suponiendo que mantuvieran durante sus años reproductivos las mismas tasas de fecundidad específicas por grupo etario del período. La población de referencia incluye mujeres de 25 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres,CRI,MICS 2018,2018,1.54068922996521,1,1,Mujeres,1,Costa Rica,Tasa de fecundidad total - MICS,"Número de hijos que nacerían por mujer, suponiendo que mantuvieran durante sus años reproductivos las mismas tasas de fecundidad específicas por grupo etario del período. La población de referencia incluye mujeres de 25 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2014,Mujeres,SLV,MICS 2014,2014,2.238294839859009,1,1,Mujeres,1,El Salvador,Tasa de fecundidad total - MICS,"Número de hijos que nacerían por mujer, suponiendo que mantuvieran durante sus años reproductivos las mismas tasas de fecundidad específicas por grupo etario del período. La población de referencia incluye mujeres de 25 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
HND2019,Mujeres,HND,MICS HND,2019,2.509134769439697,1,1,Mujeres,1,Honduras,Tasa de fecundidad total - MICS,"Número de hijos que nacerían por mujer, suponiendo que mantuvieran durante sus años reproductivos las mismas tasas de fecundidad específicas por grupo etario del período. La población de referencia incluye mujeres de 25 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
MEX2015,Mujeres,MEX,MICS 2015,2015,2.448930978775024,1,1,Mujeres,1,México,Tasa de fecundidad total - MICS,"Número de hijos que nacerían por mujer, suponiendo que mantuvieran durante sus años reproductivos las mismas tasas de fecundidad específicas por grupo etario del período. La población de referencia incluye mujeres de 25 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
PAN2012,Mujeres,PAN,MICS 2012,2012,2.699184417724609,1,1,Mujeres,1,Panamá,Tasa de fecundidad total - MICS,"Número de hijos que nacerían por mujer, suponiendo que mantuvieran durante sus años reproductivos las mismas tasas de fecundidad específicas por grupo etario del período. La población de referencia incluye mujeres de 25 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
PRY2016,Mujeres,PRY,MICS 2016,2016,2.502438068389893,1,1,Mujeres,1,Paraguay,Tasa de fecundidad total - MICS,"Número de hijos que nacerían por mujer, suponiendo que mantuvieran durante sus años reproductivos las mismas tasas de fecundidad específicas por grupo etario del período. La población de referencia incluye mujeres de 25 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
DOM2014,Mujeres,DOM,MICS 2014,2014,2.475823163986206,1,1,Mujeres,1,República Dominicana,Tasa de fecundidad total - MICS,"Número de hijos que nacerían por mujer, suponiendo que mantuvieran durante sus años reproductivos las mismas tasas de fecundidad específicas por grupo etario del período. La población de referencia incluye mujeres de 25 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
DOM2019,Mujeres,DOM,MICS 2019,2019,2.392744302749634,1,1,Mujeres,1,República Dominicana,Tasa de fecundidad total - MICS,"Número de hijos que nacerían por mujer, suponiendo que mantuvieran durante sus años reproductivos las mismas tasas de fecundidad específicas por grupo etario del período. La población de referencia incluye mujeres de 25 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
URY2012,Mujeres,URY,MICS 2012,2012,1.108536958694458,1,1,Mujeres,1,Uruguay,Tasa de fecundidad total - MICS,"Número de hijos que nacerían por mujer, suponiendo que mantuvieran durante sus años reproductivos las mismas tasas de fecundidad específicas por grupo etario del período. La población de referencia incluye mujeres de 25 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
