id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Ratio mujeres/hombres,ARG,MUT - EAHU 2013,2013,,26,26,,Ratio mujeres/hombres,6,Argentina,Horas semanales dedicadas a actividades de ocio. La población de referencia incluye a personas de 25 a 54 años.,Horas semanales dedicadas a actividades de ocio,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (baja calificación),ARG,MUT - EAHU 2013,2013,,27,27,,Ratio calificación,15,Argentina,Horas semanales dedicadas a actividades de ocio. La población de referencia incluye a personas de 25 a 54 años.,Horas semanales dedicadas a actividades de ocio,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (media calificación),ARG,MUT - EAHU 2013,2013,,28,28,,Ratio calificación,15,Argentina,Horas semanales dedicadas a actividades de ocio. La población de referencia incluye a personas de 25 a 54 años.,Horas semanales dedicadas a actividades de ocio,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (alta calificación),ARG,MUT - EAHU 2013,2013,,29,29,,Ratio calificación,15,Argentina,Horas semanales dedicadas a actividades de ocio. La población de referencia incluye a personas de 25 a 54 años.,Horas semanales dedicadas a actividades de ocio,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (solteros),ARG,MUT - EAHU 2013,2013,,30,30,,Ratio situación conyugal,14,Argentina,Horas semanales dedicadas a actividades de ocio. La población de referencia incluye a personas de 25 a 54 años.,Horas semanales dedicadas a actividades de ocio,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (en pareja),ARG,MUT - EAHU 2013,2013,,31,31,,Ratio situación conyugal,14,Argentina,Horas semanales dedicadas a actividades de ocio. La población de referencia incluye a personas de 25 a 54 años.,Horas semanales dedicadas a actividades de ocio,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (sin hijos),ARG,MUT - EAHU 2013,2013,,32,32,,Ratio hijos,13,Argentina,Horas semanales dedicadas a actividades de ocio. La población de referencia incluye a personas de 25 a 54 años.,Horas semanales dedicadas a actividades de ocio,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 0 a 5 años),ARG,MUT - EAHU 2013,2013,,33,33,,Ratio hijos,13,Argentina,Horas semanales dedicadas a actividades de ocio. La población de referencia incluye a personas de 25 a 54 años.,Horas semanales dedicadas a actividades de ocio,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 6 años o más),ARG,MUT - EAHU 2013,2013,,34,34,,Ratio hijos,13,Argentina,Horas semanales dedicadas a actividades de ocio. La población de referencia incluye a personas de 25 a 54 años.,Horas semanales dedicadas a actividades de ocio,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres,ARG,ENUT 2021,2021,.8791221380233765,26,26,,Ratio mujeres/hombres,6,Argentina,Horas semanales dedicadas a actividades de ocio. La población de referencia incluye a personas de 25 a 54 años.,Horas semanales dedicadas a actividades de ocio,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
