id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2019,Total,ARG,ERCE 2019,2019,.8098480701446533,1,1,Total,1,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que sí a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres,ARG,ERCE 2019,2019,.8355703949928284,2,2,Género,4,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que sí a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Hombres,ARG,ERCE 2019,2019,.7825313210487366,3,3,Género,4,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que sí a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Mujer,ARG,ERCE 2019,2019,.8355703949928284,4,4,Mujer,2,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que sí a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Hombre,ARG,ERCE 2019,2019,.7825313210487366,5,5,Hombre,3,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que sí a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BRA2019,Total,BRA,ERCE 2019,2019,.73993319272995,1,1,Total,1,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que sí a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BRA2019,Mujeres,BRA,ERCE 2019,2019,.7710130214691162,2,2,Género,4,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que sí a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BRA2019,Hombres,BRA,ERCE 2019,2019,.7100784778594971,3,3,Género,4,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que sí a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BRA2019,Mujer,BRA,ERCE 2019,2019,.7710130214691162,4,4,Mujer,2,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que sí a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BRA2019,Hombre,BRA,ERCE 2019,2019,.7100784778594971,5,5,Hombre,3,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que sí a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
COL2019,Total,COL,ERCE 2019,2019,.8122114539146423,1,1,Total,1,Colombia,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que sí a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
COL2019,Mujeres,COL,ERCE 2019,2019,.8328785300254822,2,2,Género,4,Colombia,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que sí a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
COL2019,Hombres,COL,ERCE 2019,2019,.7920951247215271,3,3,Género,4,Colombia,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que sí a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
COL2019,Mujer,COL,ERCE 2019,2019,.8328785300254822,4,4,Mujer,2,Colombia,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Sigo las normas y reglas de la clase.',Alumnos de sexto grado que responden que sí a 'Sigo las normas y reglas de la clase.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
