id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2019,Total,ARG,ERCE 2019,2019,.6176882982254028,1,1,Total,1,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Alumnos de sexto grado que responden que sí a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres,ARG,ERCE 2019,2019,.6366246342658997,2,2,Género,4,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Alumnos de sexto grado que responden que sí a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Hombres,ARG,ERCE 2019,2019,.597480297088623,3,3,Género,4,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Alumnos de sexto grado que responden que sí a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Mujer,ARG,ERCE 2019,2019,.6366246342658997,4,4,Mujer,2,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Alumnos de sexto grado que responden que sí a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Hombre,ARG,ERCE 2019,2019,.597480297088623,5,5,Hombre,3,Argentina,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Alumnos de sexto grado que responden que sí a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BRA2019,Total,BRA,ERCE 2019,2019,.5261821150779724,1,1,Total,1,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Alumnos de sexto grado que responden que sí a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BRA2019,Mujeres,BRA,ERCE 2019,2019,.5482830405235291,2,2,Género,4,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Alumnos de sexto grado que responden que sí a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BRA2019,Hombres,BRA,ERCE 2019,2019,.5053299069404602,3,3,Género,4,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Alumnos de sexto grado que responden que sí a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BRA2019,Mujer,BRA,ERCE 2019,2019,.5482830405235291,4,4,Mujer,2,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Alumnos de sexto grado que responden que sí a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BRA2019,Hombre,BRA,ERCE 2019,2019,.5053299069404602,5,5,Hombre,3,Brasil,Porcentaje de alumnos de 6to grado que responden siempre/casi siempre o varias veces a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Alumnos de sexto grado que responden que sí a 'Pido ayuda al profesor cuando no entiendo lo que hay que hacer.',Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
