id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,variable_ingles,comparacion_por,comparacion_por_orden,pais,pais2,indicador,detalle_indicador,disclaimer
ARG_ERCE06-132006,"Total, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,46.6570930480957,1,1,1,"Total, matemática",1,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más alto de puntajes en tercer grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de tercer grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hogares baja calificación, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,50.99052047729492,2,2,2,"Calificación, matemática",2,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más alto de puntajes en tercer grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de tercer grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hogares media calificación, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,47.49829483032227,3,3,3,"Calificación, matemática",2,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más alto de puntajes en tercer grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de tercer grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hogares alta calificación, matemática",ARG_ERCE06-13,(S)ERCE 2006,2006,40.34402465820313,4,4,4,"Calificación, matemática",2,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más alto de puntajes en tercer grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de tercer grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Total, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,57.95417022705078,5,5,5,"Total, lectura",3,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más alto de puntajes en tercer grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de tercer grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hogares baja calificación, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,60.59927749633789,6,6,6,"Calificación, lectura",4,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más alto de puntajes en tercer grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de tercer grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hogares media calificación, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,56.90286254882813,7,7,7,"Calificación, lectura",4,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más alto de puntajes en tercer grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de tercer grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132006,"Hogares alta calificación, lectura",ARG_ERCE06-13,(S)ERCE 2006,2006,56.87489318847656,8,8,8,"Calificación, lectura",4,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más alto de puntajes en tercer grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de tercer grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132013,"Total, matemática",ARG_ERCE06-13,(T)ERCE 2013 comparable a (S)ERCE 2006,2013,45.70727920532227,1,1,1,"Total, matemática",1,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más alto de puntajes en tercer grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de tercer grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE06-132013,"Hogares baja calificación, matemática",ARG_ERCE06-13,(T)ERCE 2013 comparable a (S)ERCE 2006,2013,53.71116256713867,2,2,2,"Calificación, matemática",2,Argentina,Argentina (ERCE06-13),Porcentaje de mujeres en el 10% más alto de puntajes en tercer grado,Porcentaje de alumnos en el 10% más alto de la distribución de resultados en pruebas estandarizadas de tercer grado que son mujeres.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
